iter	RMSE
0	1.529020606
1	1.403683914
2	1.296723208
3	1.200212079
4	1.113553117
5	1.034465926
6	0.9641626103
7	0.8998896899
8	0.8456781711
9	0.796222346
10	0.7513627577
11	0.7108736133
12	0.677615358
13	0.6494994775
14	0.6222490603
15	0.5968823724
16	0.5767916298
17	0.5578278594
18	0.5398152806
19	0.5237455431
20	0.5103047733
21	0.4976679134
22	0.4858319199
23	0.4755811746
24	0.4665872217
25	0.4583365794
26	0.4515970308
27	0.4456929678
28	0.440322791
29	0.4355772041
30	0.4302188833
31	0.4259870331
32	0.4220712498
33	0.4184227908
34	0.4150751469
35	0.4111750695
36	0.4078155218
37	0.4051620115
38	0.4028467436
39	0.4008800118
40	0.3986175506
41	0.3963999584
42	0.3944605912
43	0.3928778508
44	0.3914381573
45	0.3891680632
46	0.3880415307
47	0.3865253739
48	0.3850926423
49	0.3840012447
50	0.3828795419
51	0.380492266
52	0.3794933755
53	0.377743098
54	0.3769546016
55	0.3761094987
56	0.3741516631
57	0.373031455
58	0.3711596662
59	0.3704248293
60	0.3669093225
61	0.3655158749
62	0.3638678481
63	0.3616654507
64	0.3589467517
65	0.3580823914
66	0.3555067568
67	0.352317639
68	0.3514833307
69	0.3497612135
70	0.3484385315
71	0.3473236483
72	0.3456743837
73	0.3441932284
74	0.3432644887
75	0.3417653022
76	0.3399069636
77	0.3394940528
78	0.3382644824
79	0.3376643463
80	0.336958977
81	0.3360702937
82	0.3344763117
83	0.3334191956
84	0.3329134293
85	0.3306776777
86	0.3301968912
87	0.3295739941
88	0.3281115375
89	0.326425573
90	0.3251636805
91	0.3239221074
92	0.3230309127
93	0.3214337812
94	0.320544881
95	0.319422283
96	0.3185901626
97	0.3177100632
98	0.3169227307
99	0.315949
100	0.3151691692
101	0.3134798876
102	0.3130525756
103	0.3106523927
104	0.3082325888
105	0.3071338419
106	0.3061228998
107	0.3055892216
108	0.3035131431
109	0.3026807254
110	0.3012224242
111	0.3001697786
112	0.299387556
113	0.2982915417
114	0.2978231436
115	0.2968969472
116	0.2959718434
117	0.2953491311
118	0.2947529052
119	0.2937904692
120	0.2935613717
121	0.2929981931
122	0.2923106116
123	0.2918953009
124	0.2906296142
125	0.2898741143
126	0.2894993079
127	0.2881703359
128	0.287829579
129	0.2859962893
130	0.2855003568
131	0.2844326345
132	0.2840866369
133	0.2827307107
134	0.2817988067
135	0.2811540961
136	0.2807823256
137	0.2791818895
138	0.2785245154
139	0.2779836837
140	0.2778107268
141	0.2767951756
142	0.2764889961
143	0.275794053
144	0.2751768512
145	0.2746345724
146	0.2739956576
147	0.2731306619
148	0.2725281348
149	0.2721351937
150	0.2712041003
151	0.2707599065
152	0.2705189249
153	0.2700976896
154	0.2693509187
155	0.2687066516
156	0.2680936736
157	0.2676681289
158	0.2671905094
159	0.2666543808
160	0.2663329984
161	0.2658461511
162	0.2656089313
163	0.2646779149
164	0.2639450035
165	0.2634457669
166	0.2630596744
167	0.2626485172
168	0.2620417171
169	0.2615689844
170	0.2611999525
171	0.2606890869
172	0.2603656623
173	0.2599883844
174	0.2597822537
175	0.2595877196
176	0.2592505781
