iter	Passed	Remaining
0	3	3636
1	5	2983
2	8	2750
3	10	2567
4	12	2524
5	15	2646
6	19	2735
7	21	2719
8	24	2662
9	26	2635
10	29	2630
11	33	2736
12	36	2744
13	38	2733
14	41	2753
15	44	2726
16	47	2753
17	50	2760
18	52	2734
19	55	2700
20	57	2670
21	59	2641
22	62	2642
23	65	2657
24	67	2647
25	70	2636
26	72	2626
27	75	2604
28	77	2605
29	80	2600
30	83	2606
31	85	2597
32	88	2594
33	91	2591
34	94	2595
35	96	2596
36	101	2632
37	103	2623
38	106	2614
39	109	2616
40	111	2603
41	113	2599
42	116	2587
43	118	2584
44	122	2590
45	124	2590
46	127	2592
47	131	2598
48	133	2584
49	135	2572
50	137	2559
51	140	2553
52	143	2562
53	146	2571
54	148	2556
55	150	2544
56	152	2530
57	155	2530
58	158	2534
59	161	2533
60	164	2527
61	166	2516
62	168	2503
63	172	2518
64	175	2527
65	179	2536
66	181	2530
67	183	2520
68	186	2516
69	190	2526
70	193	2527
71	196	2527
72	198	2522
73	200	2513
74	204	2526
75	207	2526
76	211	2532
77	213	2529
78	216	2526
79	220	2531
80	222	2524
81	225	2522
82	228	2519
83	230	2512
84	232	2505
85	235	2502
86	238	2499
87	240	2490
88	242	2481
89	244	2472
90	246	2463
91	260	2573
92	263	2565
93	265	2559
94	268	2554
95	270	2548
96	272	2539
97	275	2531
98	277	2523
99	279	2514
100	281	2509
101	284	2501
102	286	2492
103	288	2483
104	290	2478
105	293	2471
106	295	2462
107	297	2457
108	299	2451
109	302	2444
110	304	2438
111	306	2431
112	308	2424
113	310	2415
114	313	2408
115	315	2401
116	317	2395
117	320	2392
118	322	2389
119	325	2387
120	328	2385
121	330	2378
122	332	2373
123	335	2369
124	337	2364
125	340	2359
126	342	2353
127	344	2350
128	347	2345
129	349	2341
130	352	2338
131	354	2332
132	356	2325
133	358	2319
134	361	2316
135	363	2311
136	365	2304
137	368	2298
138	370	2292
139	372	2286
140	374	2279
141	376	2274
142	378	2270
143	380	2264
144	382	2257
145	384	2251
146	386	2245
147	388	2238
148	390	2233
149	393	2228
150	395	2222
151	397	2216
152	399	2209
153	401	2204
154	403	2198
155	405	2192
156	407	2186
157	409	2181
158	411	2176
159	413	2171
160	415	2165
161	417	2159
162	419	2154
163	421	2148
164	423	2144
165	426	2140
166	428	2135
167	430	2129
168	432	2124
169	434	2119
170	436	2114
171	438	2111
172	441	2109
173	443	2105
174	445	2100
175	447	2095
176	449	2091
177	451	2086
178	454	2083
179	456	2080
180	458	2075
181	460	2070
182	462	2065
183	464	2060
184	466	2055
185	468	2051
186	470	2047
187	472	2042
188	474	2038
189	477	2033
190	479	2029
191	481	2024
192	483	2021
193	485	2018
194	488	2016
195	490	2013
196	493	2010
197	495	2006
198	498	2005
199	500	2003
200	503	2003
201	506	1999
202	508	1996
203	510	1991
204	512	1987
205	514	1983
206	516	1980
207	519	1978
208	521	1975
209	524	1971
210	526	1968
211	528	1965
212	531	1962
213	533	1960
214	536	1958
215	538	1954
216	540	1952
217	543	1950
218	546	1948
219	548	1945
220	551	1943
221	553	1940
222	555	1937
223	558	1934
224	560	1930
225	562	1927
226	565	1925
227	567	1922
228	569	1918
229	572	1915
230	574	1911
231	576	1906
232	578	1902
233	580	1898
234	582	1896
235	585	1894
236	587	1890
237	589	1886
238	591	1882
239	593	1878
240	595	1874
241	597	1871
242	599	1868
243	602	1866
244	605	1864
245	607	1862
246	609	1859
247	612	1857
248	615	1855
249	617	1852
250	619	1848
251	621	1844
252	623	1841
